established,homepage,id,name,retired
2006-04,http://hivemind.apache.org/,hivemind,Apache HiveMind,2009-04
2006-06,http://shale.apache.org/,shale,Apache Shale,2009-05
2005-07,http://beehive.apache.org/,beehive,Apache Beehive,2010-01
2005-05,http://ibatis.apache.org/,ibatis,Apache iBatis,2010-06
2004-05,http://excalibur.apache.org/,excalibur,Apache Excalibur,2010-12
2006-10,http://harmony.apache.org/,harmony,Apache Harmony,2011-11
1999-09,http://jakarta.apache.org/,jakarta,Apache Jakarta,2011-12
2007-11,http://stdcxx.apache.org/,stdcxx,Apache C++ Standard Library,2013-07
2010-12,http://esme.apache.org/,esme,Apache ESME,2013-07
2004-06,http://xmlbeans.apache.org/,xmlbeans,Apache XML Beans,2013-07
2011-08,http://whirr.apache.org/,whirr,Apache Whirr,2015-03
2009-11,http://click.apache.org/,click,Apache Click,2015-04
2004-09,http://lenya.apache.org/,lenya,Apache Lenya,2015-04
2011-10,http://deltacloud.apache.org/,deltacloud,Apache Deltacloud,2015-07
2012-08,http://directmemory.apache.org/,directmemory,Apache DirectMemory,2015-07
2010-01,http://shindig.apache.org/,shindig,Apache Shindig,2015-10
2013-04,http://onami.apache.org/,onami,Apache Onami,2016-01
2012-03,http://rave.apache.org/,rave,Apache Rave,2016-01
2012-11,http://wookie.apache.org/,wookie,Apache Wookie,2016-03
2012-05,http://mrunit.apache.org/,mrunit,Apache MRUnit,2016-05
2008-02,http://continuum.apache.org/,continuum,Apache Continuum,2016-06
2008-05,http://tuscany.apache.org/,tuscany,Apache Tuscany,2016-06
2013-01,http://etch.apache.org/,etch,Apache Etch,2016-06
2014-11,http://devicemap.apache.org/,devicemap,Apache DeviceMap,2016-12
2014-05,http://stratos.apache.org/,stratos,Apache Stratos,2017-01
2008-11,http://abdera.apache.org/,abdera,Apache Abdera,2017-03
2012-12,http://wink.apache.org/,wink,Apache Wink,2017-04
2011-12,http://ace.apache.org/,ace,Apache ACE,2017-12
2013-01,http://oltu.apache.org/,oltu,Apache Oltu,2018-03
2012-03,http://lucy.apache.org/,lucy,Apache Lucy,2018-06
2015-03,http://polygene.apache.org/,polygene,Apache Polygene,2018-12
2006-12,http://tiles.apache.org/,tiles,Apache Tiles,2018-12
2007-07,http://ode.apache.org/,ode,Apache ODE,2019-08
2014-12,http://falcon.apache.org/,falcon,Apache Falcon,2019-09
2016-04,http://apex.apache.org/,apex,Apache Apex,2019-09
2014-07,http://vxquery.apache.org/,vxquery,Apache VXQuery,2020-01
2015-03,http://aurora.apache.org/,aurora,Apache Aurora,2020-02
2004-05,http://forrest.apache.org/,forrest,Apache Forrest,2020-02
2012-05,http://hama.apache.org/,hama,Apache Hama,2020-04
2012-09,http://stanbol.apache.org/,stanbol,Apache Stanbol,2020-04
2013-10,http://chukwa.apache.org/,chukwa,Apache Chukwa,2020-05
2016-06,http://twill.apache.org/,twill,Apache Twill,2020-05
2013-02,http://crunch.apache.org/,crunch,Apache Crunch,2020-06
2017-05,http://systemml.apache.org/,systemml,Apache SystemML,2020-07
2017-09,http://drat.apache.org/,drat,Apache DRAT,2020-08
2006-11,http://labs.apache.org/,labs,Apache Labs,2020-08
2015-08,http://lens.apache.org/,lens,Apache Lens,2020-08
2017-10,http://predictionio.apache.org/,predictionio,Apache PredictionIO,2020-09
2014-03,http://tajo.apache.org/,tajo,Apache Tajo,2020-09
2014-02,http://climate.apache.org/,climate,Apache Open Climate Workbench,2020-10
2016-12,http://eagle.apache.org/,eagle,Apache Eagle,2020-11
2013-11,http://marmotta.apache.org/,marmotta,Apache Marmotta,2020-11
2017-04,http://metron.apache.org/,metron,Apache Metron,2020-12
2016-03,http://sentry.apache.org/,sentry,Apache Sentry,2020-12
2017-12,http://trafodion.apache.org/,trafodion,Apache Trafodion,2021-04
2014-11,http://metamodel.apache.org/,metamodel,Apache MetaModel,2021-06
2012-03,http://sqoop.apache.org/,sqoop,Apache Sqoop,2021-06
2018-10,http://joshua.apache.org/,joshua,Apache Joshua,2021-12
2015-08,http://usergrid.apache.org/,usergrid,Apache Usergrid,2021-12
2011-02,http://chemistry.apache.org/,chemistry,Apache Chemistry,2022-02
2011-01,http://river.apache.org/,river,Apache River,2022-02
2013-02,http://clerezza.apache.org/,clerezza,Apache Clerezza,2022-06
2008-11,http://buildr.apache.org/,buildr,Apache Buildr,2022-07
2015-11,http://reef.apache.org/,reef,Apache REEF,2022-07
2012-10,http://isis.apache.org/,isis,Apache Isis,2023-01
2010-08,http://juddi.apache.org/,juddi,Apache jUDDI,2023-02
2010-11,http://oodt.apache.org/,oodt,Apache OODT,2023-04
2012-08,http://any23.apache.org/,any23,Apache Any23,2023-06
2012-05,http://giraph.apache.org/,giraph,Apache Giraph,2023-10
2022-09,http://mxnet.apache.org,mxnet,Apache MXNet,2023-10
2016-05,http://bahir.apache.org/,bahir,Apache Bahir,2024-01
2008-03,http://archiva.apache.org/,archiva,Apache Archiva,2024-02
2012-06,http://flume.apache.org/,flume,Apache Flume,2024-03
2019-10,http://submarine.apache.org/,submarine,Apache Submarine,2024-05
2013-03,http://bloodhound.apache.org/,bloodhound,Apache Bloodhound,2024-07
2018-08,http://hawq.apache.org/,hawq,Apache HAWQ,2024-07
2024-08,http://logodevelopment.apache.org/,logodevelopment,Apache Logo Development,2024-08
2017-07,http://streams.apache.org/,streams,Apache Streams,2024-10
2003-01,http://cocoon.apache.org/,cocoon,Apache Cocoon,2025-01
2009-12,http://pivot.apache.org/,pivot,Apache Pivot,2025-01
2020-12,http://mnemonic.apache.org/,mnemonic,Apache Mnemonic,2025-02
2012-08,http://oozie.apache.org/,oozie,Apache Oozie,2025-02
2012-01,http://gora.apache.org/,gora,Apache Gora,2025-03
